date,pm25,pm10,o3,no2,so2,co
11/21/2020,71,22,51,6,2,6
11/20/2020,58,31,33,14,4,7
11/19/2020,67,30,28,19,4,6
11/18/2020,48,41,42,16,6,6
11/17/2020,68,33,42,10,3,5
11/16/2020,63,43,54,10,3,5
11/15/2020,55,36,46,8,2,4
11/14/2020,55,27,38,6,2,3
11/13/2020,51,33,50,6,2,3
11/12/2020,44,30,44,5,2,3
11/11/2020,52,34,43,4,2,3
11/10/2020,90,44,60,4,2,3
11/9/2020,116,68,78,3,3,5
11/8/2020,83,58,61,6,4,6
11/7/2020,61,43,36,12,4,5
11/6/2020,48,37,38,17,5,4
11/5/2020,80,32,53,5,2,3
11/4/2020,108,54,64,4,3,4
11/3/2020,71,64,83,4,3,5
11/2/2020,71,47,53,9,3,4
11/1/2020,61,43,53,12,5,3
10/31/2020,85,41,62,4,3,2
10/30/2020,62,49,66,4,3,5
10/29/2020,50,30,49,5,2,5
10/28/2020,43,32,54,4,2,5
10/27/2020,51,31,46,5,2,4
10/26/2020,53,35,53,7,2,4
10/25/2020,78,36,57,3,2,3
10/24/2020,69,64,74,4,3,3
10/23/2020,51,49,59,6,3,3
10/22/2020,48,23,30,7,2,4
10/21/2020,58,23,36,11,2,4
10/20/2020,57,31,45,4,2,3
10/19/2020,58,29,49,5,2,3
10/18/2020,65,35,64,3,2,3
10/17/2020,53,33,43,4,2,3
10/16/2020,59,28,39,4,2,4
10/15/2020,56,34,45,4,2,4
10/14/2020,57,36,57,3,2,4
10/13/2020,70,38,46,5,3,4
10/12/2020,60,43,67,6,3,4
10/11/2020,62,35,60,5,3,3
10/10/2020,59,37,69,3,2,3
10/9/2020,58,35,53,2,2,4
10/8/2020,55,37,50,3,2,5
10/7/2020,58,31,41,3,2,4
10/6/2020,52,43,51,3,2,4
10/5/2020,51,39,49,4,2,6
10/4/2020,51,30,49,8,4,6
10/3/2020,61,31,55,5,3,5
10/2/2020,63,29,52,3,2,5
10/1/2020,41,30,63,3,2,4
9/30/2020,42,20,38,7,2,4
9/29/2020,43,25,48,5,2,4
9/28/2020,39,22,35,9,3,4
9/27/2020,65,17,43,5,2,4
9/26/2020,53,39,59,5,2,4
9/25/2020,77,26,74,4,2,5
9/24/2020,63,37,42,7,2,5
9/23/2020,59,36,58,4,3,5
9/22/2020,56,36,74,3,2,4
9/21/2020,44,30,0,5,3,5
9/20/2020,41,18,48,6,2,4
9/19/2020,52,21,43,4,3,4
9/18/2020,71,28,89,7,6,4
9/17/2020,61,36,89,10,5,5
9/16/2020,40,28,76,8,4,5
9/15/2020,56,18,70,3,3,4
9/14/2020,82,32,70,4,3,4
9/13/2020,57,39,58,9,3,5
9/12/2020,58,24,49,6,2,4
9/11/2020,51,28,48,7,4,4
9/10/2020,73,24,35,7,5,5
9/9/2020,55,33,43,10,4,5
9/8/2020,68,22,55,11,2,5
9/7/2020,75,31,56,5,3,4
9/6/2020,70,38,74,4,4,4
9/5/2020,81,30,68,5,2,5
9/4/2020,101,39,72,2,2,5
9/3/2020,90,49,91,13,6,7
9/2/2020,78,44,96,19,9,7
9/1/2020,51,40,66,13,6,6
8/31/2020,53,25,38,8,4,5
8/30/2020,67,25,53,5,3,5
8/29/2020,42,30,80,5,4,5
8/28/2020,28,17,48,4,2,4
8/27/2020,55,15,27,4,2,4
8/26/2020,87,27,49,7,3,4
8/25/2020,61,43,63,12,6,6
8/24/2020,68,29,48,7,4,5
8/23/2020,40,32,44,7,4,5
8/22/2020,65,23,31,7,5,4
8/21/2020,81,33,32,8,3,4
8/20/2020,60,40,28,7,3,4
8/19/2020,38,30,32,9,3,3
8/18/2020,59,21,31,4,2,3
8/17/2020,66,31,37,9,4,3
8/16/2020,48,32,37,12,7,5
8/15/2020,45,24,43,9,3,3
8/14/2020,26,19,29,6,4,4
8/13/2020,16,13,17,6,2,3
8/12/2020,25,11,22,5,2,3
8/11/2020,29,15,24,4,2,3
8/10/2020,55,16,40,10,6,3
8/9/2020,38,30,47,7,4,1
8/8/2020,48,21,31,5,4,1
8/7/2020,39,20,26,6,4,2
8/6/2020,20,17,30,7,4,2
8/5/2020,13,10,24,5,3,2
8/4/2020,21,8,21,4,3,2
8/3/2020,26,14,27,6,3,2
8/2/2020,72,14,28,6,3,2
8/1/2020,89,26,41,7,4,3
7/31/2020,68,38,43,11,8,3
7/30/2020,58,31,46,9,5,3
7/29/2020,46,23,33,9,6,3
7/28/2020,46,16,25,7,4,2
7/27/2020,48,19,30,5,4,3
7/26/2020,34,24,43,9,4,3
7/25/2020,33,23,43,10,3,3
7/24/2020,19,22,41,7,3,3
7/23/2020,20,13,19,4,3,2
7/22/2020,21,13,26,4,2,1
7/21/2020,20,13,26,5,3,2
7/20/2020,20,13,25,5,2,2
7/19/2020,21,15,26,4,2,3
7/18/2020,29,17,30,4,2,3
7/17/2020,83,19,36,5,2,3
